Date,Item_Name,Item_Category,Customer_Type,Region,Monthly_Unit_Sales,Monthly_Sales,Avg_Unit_Price,Avg_Discount
2012-01-01,Candy,Confectionery,Wholesale,South,856,182228.16,198.58,6.91
2012-01-01,Candy,Confectionery,Wholesale,West,436,55688.73,176.61,4.54
2012-01-01,Chewing Gum,Confectionery,Retail,East,641,51792.72,85.32,5.98
2012-01-01,Chewing Gum,Confectionery,Retail,North,576,85967.05,169.0,5.69
2012-01-01,Chewing Gum,Confectionery,Retail,South,182,38338.34,210.84,0.09
2012-01-01,Chewing Gum,Confectionery,Retail,West,861,105972.48,139.48,6.47
2012-01-01,Chewing Gum,Confectionery,Wholesale,East,287,15944.6,85.37,8.51
2012-01-01,Chewing Gum,Confectionery,Wholesale,North,905,174022.63,198.09,5.61
2012-01-01,Chewing Gum,Confectionery,Wholesale,West,1161,168647.36,153.85,8.46
2012-01-01,Chocolate Bar,Confectionery,Retail,East,496,103180.41,211.16,9.01
2012-01-01,Chocolate Bar,Confectionery,Retail,North,279,41435.060000000005,165.32,14.24
2012-01-01,Chocolate Bar,Confectionery,Retail,South,556,96618.29000000001,179.98,6.01
2012-01-01,Chocolate Bar,Confectionery,Retail,West,224,4510.17,23.22,8.68
2012-01-01,Chocolate Bar,Confectionery,Wholesale,North,185,19094.85,128.97,4.96
2012-01-01,Chocolate Bar,Confectionery,Wholesale,South,671,96396.31999999999,146.8,4.37
2012-01-01,Chocolate Bar,Confectionery,Wholesale,West,624,104751.6,191.75,7.3
2012-01-01,Compact,Cosmetics,Retail,North,271,53135.05,197.3,3.24
2012-01-01,Compact,Cosmetics,Retail,South,907,103178.94,119.71,6.26
2012-01-01,Compact,Cosmetics,Retail,West,51,2070.63,46.09,11.91
2012-01-01,Compact,Cosmetics,Wholesale,East,484,61708.020000000004,132.83,9.21
2012-01-01,Compact,Cosmetics,Wholesale,South,900,124163.94,137.17,6.86
2012-01-01,Compact,Cosmetics,Wholesale,West,16,2730.15,191.81,11.04
2012-01-01,Detergent,Cleaning Essentials,Retail,East,641,146072.11000000002,240.35,3.93
2012-01-01,Detergent,Cleaning Essentials,Retail,North,216,43901.32,132.51,9.91
2012-01-01,Detergent,Cleaning Essentials,Retail,South,293,71665.02,285.27,14.26
2012-01-01,Detergent,Cleaning Essentials,Retail,West,545,74232.84,173.63,8.86
2012-01-01,Detergent,Cleaning Essentials,Wholesale,East,379,81548.13,177.81,9.41
2012-01-01,Detergent,Cleaning Essentials,Wholesale,North,666,122467.44,182.04,6.89
2012-01-01,Detergent,Cleaning Essentials,Wholesale,South,412,22402.25,99.94,5.97
2012-01-01,Detergent,Cleaning Essentials,Wholesale,West,233,35808.42,129.94,6.94
2012-01-01,Dish Soap,Cleaning Essentials,Retail,East,509,82106.04000000001,139.71,3.41
2012-01-01,Dish Soap,Cleaning Essentials,Retail,North,459,60125.170000000006,147.85,11.47
2012-01-01,Dish Soap,Cleaning Essentials,Retail,South,248,41284.259999999995,189.41,11.29
2012-01-01,Dish Soap,Cleaning Essentials,Retail,West,380,76151.64,212.02,7.36
2012-01-01,Dish Soap,Cleaning Essentials,Wholesale,East,1021,92127.58,129.86,8.83
2012-01-01,Dish Soap,Cleaning Essentials,Wholesale,North,657,68090.72,127.15,6.82
2012-01-01,Dish Soap,Cleaning Essentials,Wholesale,South,696,104155.26,176.23,8.67
2012-01-01,Dish Soap,Cleaning Essentials,Wholesale,West,676,85272.73,109.22,7.11
2012-01-01,Disinfectant,Cleaning Essentials,Retail,East,758,103624.61,138.46,10.66
2012-01-01,Disinfectant,Cleaning Essentials,Retail,North,741,72935.68,107.91,8.71
2012-01-01,Disinfectant,Cleaning Essentials,Retail,South,320,52437.020000000004,175.7,4.25
2012-01-01,Disinfectant,Cleaning Essentials,Retail,West,389,73556.48000000001,212.88,9.04
2012-01-01,Disinfectant,Cleaning Essentials,Wholesale,East,145,14443.21,98.1,10.04
2012-01-01,Disinfectant,Cleaning Essentials,Wholesale,North,327,38492.91,108.07,5.94
2012-01-01,Disinfectant,Cleaning Essentials,Wholesale,South,598,82674.69,140.22,12.77
2012-01-01,Disinfectant,Cleaning Essentials,Wholesale,West,792,124843.97,189.2,12.16
2012-01-01,Energy Bar,Confectionery,Retail,East,474,77140.03,183.74,11.73
2012-01-01,Energy Bar,Confectionery,Retail,North,754,114310.93,167.54,10.02
2012-01-01,Energy Bar,Confectionery,Retail,South,694,68609.01,117.47,6.99
2012-01-01,Energy Bar,Confectionery,Retail,West,401,34413.29,121.44,0.82
2012-01-01,Energy Bar,Confectionery,Wholesale,East,791,44471.89,92.12,9.06
2012-01-01,Energy Bar,Confectionery,Wholesale,North,175,25559.989999999998,124.6,4.84
2012-01-01,Energy Bar,Confectionery,Wholesale,South,363,38431.67,140.15,12.87
2012-01-01,Energy Bar,Confectionery,Wholesale,West,638,80462.84,131.76,8.38
2012-01-01,Eraser,Stationery,Retail,East,316,11273.83,68.2,7.58
2012-01-01,Eraser,Stationery,Retail,North,877,158086.97,184.81,3.16
2012-01-01,Eraser,Stationery,Retail,South,101,14905.46,203.82,4.96
2012-01-01,Eraser,Stationery,Retail,West,1003,183761.31,200.07,9.13
2012-01-01,Eraser,Stationery,Wholesale,East,228,6529.12,46.96,12.28
2012-01-01,Eraser,Stationery,Wholesale,North,1018,66318.29000000001,85.49,7.0
2012-01-01,Eraser,Stationery,Wholesale,South,416,87110.13,207.68,7.3
2012-01-01,Eraser,Stationery,Wholesale,West,816,136126.85,154.82,6.32
2012-01-01,Eyeliner,Cosmetics,Retail,East,582,82575.94,180.79,12.56
2012-01-01,Eyeliner,Cosmetics,Retail,North,334,63591.64,170.8,5.36
2012-01-01,Eyeliner,Cosmetics,Retail,South,155,29502.27,234.38,3.33
2012-01-01,Eyeliner,Cosmetics,Retail,West,1220,150425.88,151.35,6.67
2012-01-01,Eyeliner,Cosmetics,Wholesale,East,644,64728.56,98.06,10.14
2012-01-01,Eyeliner,Cosmetics,Wholesale,North,549,78152.70999999999,155.35,8.67
2012-01-01,Eyeliner,Cosmetics,Wholesale,South,614,56799.01,71.41,4.96
2012-01-01,Eyeliner,Cosmetics,Wholesale,West,558,78659.24,144.88,2.7
2012-01-01,Face Cream,Cosmetics,Retail,East,117,24053.579999999998,202.37,4.42
2012-01-01,Face Cream,Cosmetics,Retail,North,194,32867.37,176.13,3.81
2012-01-01,Face Cream,Cosmetics,Retail,South,276,64132.49,239.6,3.02
2012-01-01,Face Cream,Cosmetics,Retail,West,163,40982.1,268.3,6.29
2012-01-01,Face Cream,Cosmetics,Wholesale,East,344,36913.31,106.85,3.13
2012-01-01,Face Cream,Cosmetics,Wholesale,North,87,16970.8,218.42,4.09
2012-01-01,Face Cream,Cosmetics,Wholesale,South,686,110463.67,189.91,6.6
2012-01-01,Face Cream,Cosmetics,Wholesale,West,541,42924.4,101.13,6.7
2012-01-01,Face Wash,Cosmetics,Retail,East,387,63352.49,161.09,6.19
2012-01-01,Face Wash,Cosmetics,Retail,North,836,166995.76,208.28,1.98
2012-01-01,Face Wash,Cosmetics,Retail,South,558,25647.23,51.3,5.4
2012-01-01,Face Wash,Cosmetics,Retail,West,125,10818.81,91.86,5.78
2012-01-01,Face Wash,Cosmetics,Wholesale,East,302,46084.89,178.2,9.06
2012-01-01,Face Wash,Cosmetics,Wholesale,North,277,49260.78,192.78,4.81
2012-01-01,Face Wash,Cosmetics,Wholesale,South,584,15266.4,32.0,7.31
2012-01-01,Face Wash,Cosmetics,Wholesale,West,963,135657.64,154.78,8.18
2012-01-01,Floor Cleaner,Cleaning Essentials,Retail,South,143,27818.04,200.02,2.34
2012-01-01,Floor Cleaner,Cleaning Essentials,Retail,West,241,64027.12,284.69,6.68
2012-01-01,Floor Cleaner,Cleaning Essentials,Wholesale,East,825,147481.53,205.97,5.75
2012-01-01,Floor Cleaner,Cleaning Essentials,Wholesale,North,187,35345.34,215.62,12.34
2012-01-01,Floor Cleaner,Cleaning Essentials,Wholesale,South,469,80142.13,146.41,3.82
2012-01-01,Floor Cleaner,Cleaning Essentials,Wholesale,West,345,44180.62,172.64,9.06
2012-01-01,Foundation,Cosmetics,Retail,East,129,13878.99,124.51,13.59
2012-01-01,Foundation,Cosmetics,Retail,North,277,34582.83,134.89,4.64
2012-01-01,Foundation,Cosmetics,Retail,South,646,121833.17,198.25,6.78
2012-01-01,Foundation,Cosmetics,Retail,West,252,14986.52,69.67,14.64
2012-01-01,Foundation,Cosmetics,Wholesale,East,425,96260.44,216.59,9.3
2012-01-01,Foundation,Cosmetics,Wholesale,North,500,58138.130000000005,113.09,2.86
2012-01-01,Foundation,Cosmetics,Wholesale,South,732,158825.46,207.23,6.41
2012-01-01,Foundation,Cosmetics,Wholesale,West,537,80558.67,190.67,11.36
2012-01-01,Fruit Bar,Confectionery,Retail,East,927,138902.14,172.51,4.38
2012-01-01,Fruit Bar,Confectionery,Retail,North,986,179613.22,172.45,7.83
2012-01-01,Fruit Bar,Confectionery,Retail,South,836,101207.87,110.97,6.82
2012-01-01,Fruit Bar,Confectionery,Retail,West,104,11461.06,123.09,10.47
2012-01-01,Fruit Bar,Confectionery,Wholesale,East,442,67150.81,157.95,11.71
2012-01-01,Fruit Bar,Confectionery,Wholesale,North,376,30246.809999999998,92.34,9.06
2012-01-01,Fruit Bar,Confectionery,Wholesale,South,598,89205.88,135.06,7.58
2012-01-01,Fruit Bar,Confectionery,Wholesale,West,228,44672.979999999996,219.72,8.77
2012-01-01,Glass Cleaner,Cleaning Essentials,Retail,East,354,54132.57,172.54,9.0
2012-01-01,Glass Cleaner,Cleaning Essentials,Retail,North,522,86254.73,186.15,6.92
2012-01-01,Glass Cleaner,Cleaning Essentials,Retail,South,685,103978.67,156.72,1.38
2012-01-01,Glass Cleaner,Cleaning Essentials,Retail,West,382,85587.77,236.62,11.36
2012-01-01,Glass Cleaner,Cleaning Essentials,Wholesale,East,190,34459.17,189.72,6.55
2012-01-01,Glass Cleaner,Cleaning Essentials,Wholesale,North,83,9612.54,132.51,12.6
2012-01-01,Glass Cleaner,Cleaning Essentials,Wholesale,South,715,51606.740000000005,124.52,8.14
2012-01-01,Glass Cleaner,Cleaning Essentials,Wholesale,West,551,87568.9,158.34,2.73
2012-01-01,Glue,Stationery,Retail,East,358,79858.21,233.0,3.93
2012-01-01,Glue,Stationery,Retail,North,699,127624.03,164.17,9.16
2012-01-01,Glue,Stationery,Retail,South,102,13511.94,137.36,3.56
2012-01-01,Glue,Stationery,Retail,West,146,14451.210000000001,73.28,9.17
2012-01-01,Glue,Stationery,Wholesale,East,1247,168485.65,137.38,6.26
2012-01-01,Glue,Stationery,Wholesale,North,406,84864.91,232.17,9.49
2012-01-01,Glue,Stationery,Wholesale,South,192,3349.54,17.88,2.43
2012-01-01,Glue,Stationery,Wholesale,West,48,4785.17,107.16,6.97
2012-01-01,Hand Wash,Cleaning Essentials,Retail,East,201,31298.41,174.9,10.97
2012-01-01,Hand Wash,Cleaning Essentials,Retail,North,904,126063.84,157.9,7.99
2012-01-01,Hand Wash,Cleaning Essentials,Retail,South,998,130631.92,155.93,8.22
2012-01-01,Hand Wash,Cleaning Essentials,Wholesale,East,241,54955.68,255.29,13.94
2012-01-01,Hand Wash,Cleaning Essentials,Wholesale,North,874,127421.04000000001,180.48,9.55
2012-01-01,Hand Wash,Cleaning Essentials,Wholesale,South,718,139035.37,185.27,5.73
2012-01-01,Hand Wash,Cleaning Essentials,Wholesale,West,97,9644.52,106.0,6.2
2012-01-01,Highlighter,Stationery,Retail,East,659,119422.88,190.88,5.53
2012-01-01,Highlighter,Stationery,Retail,North,79,13321.0,178.68,5.63
2012-01-01,Highlighter,Stationery,Retail,South,189,25314.68,138.88,7.36
2012-01-01,Highlighter,Stationery,Retail,West,851,211364.47,264.62,5.6
2012-01-01,Highlighter,Stationery,Wholesale,East,74,9251.94,146.71,14.78
2012-01-01,Highlighter,Stationery,Wholesale,North,217,36869.9,150.69,8.78
2012-01-01,Highlighter,Stationery,Wholesale,South,460,78808.83,208.18,4.96
2012-01-01,Highlighter,Stationery,Wholesale,West,603,90783.96,168.87,8.58
2012-01-01,Lipstick,Cosmetics,Retail,East,207,54657.05,297.38,11.21
2012-01-01,Lipstick,Cosmetics,Retail,North,588,79011.98999999999,148.29,8.41
2012-01-01,Lipstick,Cosmetics,Retail,South,442,33371.56,87.98,13.44
2012-01-01,Lipstick,Cosmetics,Retail,West,551,59671.73,106.95,6.12
2012-01-01,Lipstick,Cosmetics,Wholesale,East,91,12487.73,145.43,5.64
2012-01-01,Lipstick,Cosmetics,Wholesale,North,485,76954.04,169.71,5.02
2012-01-01,Lipstick,Cosmetics,Wholesale,South,375,17802.05,72.26,4.98
2012-01-01,Lipstick,Cosmetics,Wholesale,West,337,49155.270000000004,202.96,13.39
2012-01-01,Lollipop,Confectionery,Retail,East,464,74314.72,217.93,8.05
2012-01-01,Lollipop,Confectionery,Retail,North,209,21645.83,120.98,6.62
2012-01-01,Lollipop,Confectionery,Retail,South,393,82426.93,140.86,3.8
2012-01-01,Lollipop,Confectionery,Retail,West,731,101240.45999999999,122.66,5.67
2012-01-01,Lollipop,Confectionery,Wholesale,East,325,58719.840000000004,198.4,8.48
2012-01-01,Lollipop,Confectionery,Wholesale,North,279,15439.369999999999,111.06,8.93
2012-01-01,Lollipop,Confectionery,Wholesale,South,480,74678.81,186.7,9.56
2012-01-01,Lollipop,Confectionery,Wholesale,West,624,109612.76999999999,195.37,6.23
2012-01-01,Marker,Stationery,Retail,East,341,58978.189999999995,197.71,7.62
2012-01-01,Marker,Stationery,Retail,South,480,16144.96,38.06,5.02
2012-01-01,Marker,Stationery,Retail,West,552,114197.81,242.95,7.09
2012-01-01,Marker,Stationery,Wholesale,East,255,24844.75,150.58,12.42
2012-01-01,Marker,Stationery,Wholesale,North,302,42282.55,122.86,10.9
2012-01-01,Marker,Stationery,Wholesale,South,409,51796.97,123.93,11.78
2012-01-01,Marker,Stationery,Wholesale,West,561,69629.12,139.54,8.33
2012-01-01,Mascara,Cosmetics,Retail,East,273,80368.83,298.42,1.35
2012-01-01,Mascara,Cosmetics,Retail,North,501,85575.88,171.25,5.93
2012-01-01,Mascara,Cosmetics,Retail,South,723,58361.05,121.44,7.17
2012-01-01,Mascara,Cosmetics,Retail,West,589,112465.54,199.77,5.78
2012-01-01,Mascara,Cosmetics,Wholesale,East,454,33399.17,88.42,6.1
2012-01-01,Mascara,Cosmetics,Wholesale,North,326,45032.41,181.54,8.43
2012-01-01,Mascara,Cosmetics,Wholesale,South,671,109378.07,178.86,7.76
2012-01-01,Mascara,Cosmetics,Wholesale,West,355,40447.93,119.2,5.86
2012-01-01,Mints,Confectionery,Retail,East,168,25333.68,132.1,7.18
2012-01-01,Mints,Confectionery,Retail,North,248,47804.36,161.61,7.19
2012-01-01,Mints,Confectionery,Retail,South,281,9737.59,36.37,4.72
2012-01-01,Mints,Confectionery,Retail,West,472,93936.85999999999,160.62,2.58
2012-01-01,Mints,Confectionery,Wholesale,East,634,86688.63,168.29,7.86
2012-01-01,Mints,Confectionery,Wholesale,North,429,62000.670000000006,192.52,11.12
2012-01-01,Mints,Confectionery,Wholesale,South,502,66113.78,160.56,9.37
2012-01-01,Mints,Confectionery,Wholesale,West,878,157523.23,180.47,6.61
2012-01-01,Mop,Cleaning Essentials,Retail,East,570,88408.63,189.14,11.19
2012-01-01,Mop,Cleaning Essentials,Retail,North,63,18061.2,290.55,1.33
2012-01-01,Mop,Cleaning Essentials,Retail,South,550,107984.79,213.24,10.52
2012-01-01,Mop,Cleaning Essentials,Retail,West,68,2016.4,85.62,9.4
2012-01-01,Mop,Cleaning Essentials,Wholesale,East,615,69183.36,133.77,8.14
2012-01-01,Mop,Cleaning Essentials,Wholesale,North,843,37391.1,81.88,10.82
2012-01-01,Mop,Cleaning Essentials,Wholesale,South,726,123107.37,184.38,6.02
2012-01-01,Mop,Cleaning Essentials,Wholesale,West,459,86735.02,189.52,10.68
2012-01-01,Nail Polish,Cosmetics,Retail,East,645,42758.54,69.34,4.57
2012-01-01,Nail Polish,Cosmetics,Retail,North,357,81093.76,251.7,4.54
2012-01-01,Nail Polish,Cosmetics,Retail,South,524,51513.189999999995,119.59,7.72
2012-01-01,Nail Polish,Cosmetics,Retail,West,859,147151.7,213.65,9.25
2012-01-01,Nail Polish,Cosmetics,Wholesale,East,190,15565.05,164.63,4.72
2012-01-01,Nail Polish,Cosmetics,Wholesale,North,654,73752.35,119.58,6.36
2012-01-01,Nail Polish,Cosmetics,Wholesale,South,484,108231.71,243.16,6.43
2012-01-01,Nail Polish,Cosmetics,Wholesale,West,141,33988.65,228.05,8.0
2012-01-01,Notebook,Stationery,Retail,East,868,75700.79,121.67,8.82
2012-01-01,Notebook,Stationery,Retail,North,114,13164.22,120.4,4.09
2012-01-01,Notebook,Stationery,Retail,South,551,67451.4,128.33,5.71
2012-01-01,Notebook,Stationery,Retail,West,1520,214508.61,139.72,8.97
2012-01-01,Notebook,Stationery,Wholesale,East,169,10536.3,68.73,9.29
2012-01-01,Notebook,Stationery,Wholesale,North,107,5272.64,64.46,10.33
2012-01-01,Notebook,Stationery,Wholesale,South,173,7963.78,49.16,6.36
2012-01-01,Pen,Stationery,Retail,East,362,47049.7,99.06,3.16
2012-01-01,Pen,Stationery,Retail,North,955,169909.83,201.67,6.41
2012-01-01,Pen,Stationery,Retail,South,840,130176.0,159.29,8.68
2012-01-01,Pen,Stationery,Retail,West,126,32768.56,269.92,3.65
2012-01-01,Pen,Stationery,Wholesale,East,387,30707.190000000002,82.03,7.82
2012-01-01,Pen,Stationery,Wholesale,North,1049,158376.97,178.46,7.32
2012-01-01,Pen,Stationery,Wholesale,South,674,84748.52,137.91,5.17
2012-01-01,Pen,Stationery,Wholesale,West,690,150422.05,233.9,7.26
2012-01-01,Pencil,Stationery,Retail,East,784,131054.37,179.07,6.58
2012-01-01,Pencil,Stationery,Retail,North,333,59212.1,146.36,9.89
2012-01-01,Pencil,Stationery,Retail,South,484,64456.67,192.52,11.65
2012-01-01,Pencil,Stationery,Wholesale,East,670,71532.84,135.12,9.61
2012-01-01,Pencil,Stationery,Wholesale,North,150,665.46,5.13,13.52
2012-01-01,Pencil,Stationery,Wholesale,South,757,77656.41,143.52,8.04
2012-01-01,Pencil,Stationery,Wholesale,West,566,103292.66,212.44,10.95
2012-01-01,Perfume,Cosmetics,Retail,East,658,120173.20999999999,186.29,3.74
2012-01-01,Perfume,Cosmetics,Retail,North,1006,131707.31,160.48,7.77
2012-01-01,Perfume,Cosmetics,Retail,South,611,77663.13,175.2,5.25
2012-01-01,Perfume,Cosmetics,Retail,West,263,35556.38,148.55,8.99
2012-01-01,Perfume,Cosmetics,Wholesale,East,571,61919.58,113.28,4.07
2012-01-01,Perfume,Cosmetics,Wholesale,South,657,51352.479999999996,85.8,5.95
2012-01-01,Perfume,Cosmetics,Wholesale,West,762,90126.58,104.62,4.42
2012-01-01,Ruler,Stationery,Retail,East,1066,102440.14,146.88,5.71
2012-01-01,Ruler,Stationery,Retail,North,828,97398.61,128.08,5.66
2012-01-01,Ruler,Stationery,Retail,South,589,49608.9,93.63,5.08
2012-01-01,Ruler,Stationery,Retail,West,1140,193532.61,193.02,6.93
2012-01-01,Ruler,Stationery,Wholesale,East,675,94125.31,135.22,5.6
2012-01-01,Ruler,Stationery,Wholesale,North,474,66052.06,165.74,5.6
2012-01-01,Ruler,Stationery,Wholesale,South,396,58396.09,143.93,7.02
2012-01-01,Ruler,Stationery,Wholesale,West,236,25107.82,130.4,7.27
2012-01-01,Scissors,Stationery,Retail,East,355,37908.869999999995,113.56,9.01
2012-01-01,Scissors,Stationery,Retail,South,408,83500.39,217.04,5.54
2012-01-01,Scissors,Stationery,Retail,West,884,81049.39000000001,98.38,11.42
2012-01-01,Scissors,Stationery,Wholesale,East,71,12099.419999999998,188.7,7.54
2012-01-01,Scissors,Stationery,Wholesale,North,199,19909.41,117.22,14.65
2012-01-01,Scissors,Stationery,Wholesale,South,369,20192.760000000002,62.94,7.75
2012-01-01,Scissors,Stationery,Wholesale,West,525,102272.42,186.48,6.57
2012-01-01,Scrub Pad,Cleaning Essentials,Retail,East,354,92817.73,269.39,3.29
2012-01-01,Scrub Pad,Cleaning Essentials,Retail,North,334,15799.33,80.76,7.06
2012-01-01,Scrub Pad,Cleaning Essentials,Retail,South,398,56808.84,125.93,5.25
2012-01-01,Scrub Pad,Cleaning Essentials,Retail,West,1169,141570.88,137.5,7.3
2012-01-01,Scrub Pad,Cleaning Essentials,Wholesale,East,742,86983.39,118.78,1.84
2012-01-01,Scrub Pad,Cleaning Essentials,Wholesale,North,382,33096.82,79.39,9.54
2012-01-01,Scrub Pad,Cleaning Essentials,Wholesale,South,130,15997.62,147.65,12.64
2012-01-01,Scrub Pad,Cleaning Essentials,Wholesale,West,115,10911.25,117.57,9.6
2012-01-01,Stapler,Stationery,Retail,East,759,41056.14,86.21,8.52
2012-01-01,Stapler,Stationery,Retail,North,382,45414.649999999994,116.68,7.88
2012-01-01,Stapler,Stationery,Retail,South,389,82603.92,233.39,10.75
2012-01-01,Stapler,Stationery,Retail,West,890,102217.53,90.95,7.2
2012-01-01,Stapler,Stationery,Wholesale,East,88,1790.11,22.62,10.07
2012-01-01,Stapler,Stationery,Wholesale,North,557,82822.55,161.92,7.77
2012-01-01,Stapler,Stationery,Wholesale,South,927,105230.47,140.74,10.55
2012-01-01,Toffee,Confectionery,Retail,East,375,71515.54,213.8,5.56
2012-01-01,Toffee,Confectionery,Retail,North,277,32336.28,131.55,11.26
2012-01-01,Toffee,Confectionery,Retail,South,547,78369.60999999999,133.0,7.53
2012-01-01,Toffee,Confectionery,Retail,West,591,98148.44,137.66,2.36
2012-01-01,Toffee,Confectionery,Wholesale,East,135,8139.6900000000005,88.17,7.12
2012-01-01,Toffee,Confectionery,Wholesale,North,479,76306.79000000001,185.32,6.85
2012-01-01,Toffee,Confectionery,Wholesale,South,267,68890.18,281.4,8.31
2012-01-01,Toffee,Confectionery,Wholesale,West,1220,200115.07,145.67,6.14
2012-01-01,Toilet Cleaner,Cleaning Essentials,Retail,East,1003,195903.93,208.48,6.81
2012-01-01,Toilet Cleaner,Cleaning Essentials,Retail,North,162,21928.48,151.75,10.8
2012-01-01,Toilet Cleaner,Cleaning Essentials,Retail,South,418,53709.83,152.49,4.94
2012-01-01,Toilet Cleaner,Cleaning Essentials,Retail,West,439,77395.38,153.86,7.31
2012-01-01,Toilet Cleaner,Cleaning Essentials,Wholesale,East,500,45725.549999999996,96.67,8.41
2012-01-01,Toilet Cleaner,Cleaning Essentials,Wholesale,North,637,88678.51999999999,172.52,9.16
2012-01-01,Toilet Cleaner,Cleaning Essentials,Wholesale,West,625,101451.84,197.32,11.35
2012-01-01,Wafers,Confectionery,Retail,East,333,23052.39,124.12,6.66
2012-01-01,Wafers,Confectionery,Retail,North,435,85185.76999999999,213.7,8.25
2012-01-01,Wafers,Confectionery,Retail,South,413,76221.94,211.46,9.91
2012-01-01,Wafers,Confectionery,Retail,West,514,131666.37,251.81,5.13
2012-01-01,Wafers,Confectionery,Wholesale,East,233,43520.28999999999,218.6,5.12
2012-01-01,Wafers,Confectionery,Wholesale,North,282,42273.99999999999,92.06,1.31
2012-01-01,Wafers,Confectionery,Wholesale,South,1158,192001.22999999998,181.03,5.08
2012-01-01,Wafers,Confectionery,Wholesale,West,352,54661.17,165.03,13.06
2012-02-01,Biscuit Pack,Confectionery,Retail,East,397,62464.95,139.16,9.94
2012-02-01,Biscuit Pack,Confectionery,Retail,North,268,53393.09,134.4,5.14
2012-02-01,Biscuit Pack,Confectionery,Retail,South,1023,207274.51,198.1,5.95
2012-02-01,Biscuit Pack,Confectionery,Retail,West,523,40296.0,115.88,7.12
2012-02-01,Biscuit Pack,Confectionery,Wholesale,East,603,97105.21,171.99,5.54
2012-02-01,Biscuit Pack,Confectionery,Wholesale,North,258,25063.51,116.8,2.79
2012-02-01,Biscuit Pack,Confectionery,Wholesale,South,285,54332.57,242.41,7.14
2012-02-01,Biscuit Pack,Confectionery,Wholesale,West,300,44519.39,167.09,6.82
2012-02-01,Bleach,Cleaning Essentials,Retail,East,627,92033.35,166.7,7.72
2012-02-01,Bleach,Cleaning Essentials,Retail,North,460,57641.990000000005,132.61,5.32
2012-02-01,Bleach,Cleaning Essentials,Retail,South,206,12552.880000000001,84.66,8.57
2012-02-01,Bleach,Cleaning Essentials,Retail,West,967,132929.02000000002,160.71,5.25
2012-02-01,Bleach,Cleaning Essentials,Wholesale,East,665,90355.01,147.22,6.8
2012-02-01,Bleach,Cleaning Essentials,Wholesale,North,164,23578.550000000003,161.47,9.56
2012-02-01,Bleach,Cleaning Essentials,Wholesale,South,325,64292.31,233.6,11.74
2012-02-01,Bleach,Cleaning Essentials,Wholesale,West,34,6637.45,226.21,13.7
2012-02-01,Blush,Cosmetics,Retail,East,229,49638.09,229.53,6.79
2012-02-01,Blush,Cosmetics,Retail,North,467,23253.44,125.32,8.26
2012-02-01,Blush,Cosmetics,Retail,South,105,24674.88,238.23,1.36
2012-02-01,Blush,Cosmetics,Retail,West,883,178883.46999999997,199.86,7.87
